ID do Produto,Nome do Produto,Categoria,Quantidade em Estoque,Data de Entrada,Fornecedor,Localização no Estoque,Data de Venda,Quantidade Vendida
26,Empilhadeira doctor,Plantadeira,20,2024-03-25,Allen Mitchell and Williams,Galpao 5,2022-12-26,7
26,Empilhadeira doctor,Plantadeira,26,2024-04-01,Allen Mitchell and Williams,Galpao 5,2022-09-28,10
26,Empilhadeira doctor,Plantadeira,5,2024-05-20,Allen Mitchell and Williams,Galpao 5,2022-08-29,2
26,Empilhadeira doctor,Plantadeira,8,2024-03-06,Allen Mitchell and Williams,Galpao 5,2022-05-21,5
26,Empilhadeira doctor,Plantadeira,1,2024-01-31,Allen Mitchell and Williams,Galpao 5,2023-02-26,10
27,Colheitadeira manage,Empilhadeira,5,2024-02-06,RamosHayes,Galpao 9,2022-12-13,2
27,Colheitadeira manage,Empilhadeira,13,2024-05-02,RamosHayes,Galpao 9,2022-11-16,5
27,Colheitadeira manage,Empilhadeira,24,2024-03-26,RamosHayes,Galpao 9,2023-02-13,2
27,Colheitadeira manage,Empilhadeira,14,2024-04-05,RamosHayes,Galpao 9,2022-03-14,2
27,Colheitadeira manage,Empilhadeira,43,2024-03-04,RamosHayes,Galpao 9,2022-12-14,1
28,Trator hit,Empilhadeira,10,2024-05-16,SchroederNicholson,Galpao 2,2023-06-09,10
28,Trator hit,Empilhadeira,40,2024-03-26,SchroederNicholson,Galpao 2,2023-10-07,2
28,Trator hit,Empilhadeira,6,2024-01-27,SchroederNicholson,Galpao 2,2022-01-02,1
28,Trator hit,Empilhadeira,40,2024-03-23,SchroederNicholson,Galpao 2,2023-10-14,7
28,Trator hit,Empilhadeira,14,2024-06-17,SchroederNicholson,Galpao 2,2022-08-27,7
29,Colheitadeira land,Plantadeira,13,2024-01-09,Garrett Taylor and Miranda,Galpao 3,2022-02-23,4
29,Colheitadeira land,Plantadeira,34,2024-04-20,Garrett Taylor and Miranda,Galpao 3,2023-09-29,6
29,Colheitadeira land,Plantadeira,19,2024-03-18,Garrett Taylor and Miranda,Galpao 3,2023-12-02,7
29,Colheitadeira land,Plantadeira,36,2024-04-30,Garrett Taylor and Miranda,Galpao 3,2023-09-23,8
29,Colheitadeira land,Plantadeira,40,2024-01-25,Garrett Taylor and Miranda,Galpao 3,2022-08-03,7
30,Pulverizador follow,Colheitadeira,42,2024-04-10,Flores Richardson and Cole,Galpao 8,2022-04-18,7
30,Pulverizador follow,Colheitadeira,35,2024-05-07,Flores Richardson and Cole,Galpao 8,2022-05-03,4
30,Pulverizador follow,Colheitadeira,21,2024-03-25,Flores Richardson and Cole,Galpao 8,2023-08-01,6
30,Pulverizador follow,Colheitadeira,45,2024-06-05,Flores Richardson and Cole,Galpao 8,2023-04-29,3
30,Pulverizador follow,Colheitadeira,32,2024-07-05,Flores Richardson and Cole,Galpao 8,2023-07-06,10
31,Trator goal,Trator,7,2024-01-10,Riley Inc,Galpao 9,2022-01-25,1
31,Trator goal,Trator,5,2024-02-14,Riley Inc,Galpao 9,2023-07-07,5
31,Trator goal,Trator,39,2024-03-16,Riley Inc,Galpao 9,2022-03-17,7
31,Trator goal,Trator,7,2024-04-04,Riley Inc,Galpao 9,2022-02-13,8
31,Trator goal,Trator,7,2024-03-14,Riley Inc,Galpao 9,2023-10-28,2
32,Empilhadeira program,Trator,18,2024-05-15,Howard and Sons,Galpao 5,2022-07-07,2
32,Empilhadeira program,Trator,2,2024-04-07,Howard and Sons,Galpao 5,2022-04-06,4
32,Empilhadeira program,Trator,44,2024-01-19,Howard and Sons,Galpao 5,2022-08-04,6
32,Empilhadeira program,Trator,2,2024-05-04,Howard and Sons,Galpao 5,2022-06-21,1
32,Empilhadeira program,Trator,38,2024-03-16,Howard and Sons,Galpao 5,2022-03-26,6
33,Trator reason,Colheitadeira,28,2024-06-25,AdamsBrown,Galpao 4,2022-08-14,3
33,Trator reason,Colheitadeira,25,2024-03-06,AdamsBrown,Galpao 4,2022-05-22,6
33,Trator reason,Colheitadeira,42,2024-02-09,AdamsBrown,Galpao 4,2022-05-10,6
33,Trator reason,Colheitadeira,49,2024-02-03,AdamsBrown,Galpao 4,2023-04-25,1
33,Trator reason,Colheitadeira,10,2024-01-10,AdamsBrown,Galpao 4,2022-02-04,3
34,Colheitadeira change,Colheitadeira,49,2024-06-03,DaltonBenton,Galpao 3,2023-10-17,9
34,Colheitadeira change,Colheitadeira,25,2024-01-27,DaltonBenton,Galpao 3,2023-09-24,1
34,Colheitadeira change,Colheitadeira,22,2024-04-24,DaltonBenton,Galpao 3,2023-08-21,2
34,Colheitadeira change,Colheitadeira,9,2024-03-02,DaltonBenton,Galpao 3,2023-02-04,10
34,Colheitadeira change,Colheitadeira,1,2024-06-13,DaltonBenton,Galpao 3,2022-02-27,10
35,Pulverizador decade,Plantadeira,17,2024-05-05,Duke Powers and Chen,Galpao 4,2022-12-28,3
35,Pulverizador decade,Plantadeira,49,2024-05-28,Duke Powers and Chen,Galpao 4,2022-08-16,3
35,Pulverizador decade,Plantadeira,13,2024-02-15,Duke Powers and Chen,Galpao 4,2022-02-07,5
35,Pulverizador decade,Plantadeira,5,2024-06-08,Duke Powers and Chen,Galpao 4,2022-09-07,1
35,Pulverizador decade,Plantadeira,41,2024-06-24,Duke Powers and Chen,Galpao 4,2023-10-04,6
36,Pulverizador either,Plantadeira,20,2024-01-13,WalkerRamos,Galpao 4,2022-03-19,6
36,Pulverizador either,Plantadeira,11,2024-02-13,WalkerRamos,Galpao 4,2023-04-24,7
36,Pulverizador either,Plantadeira,12,2024-04-22,WalkerRamos,Galpao 4,2022-06-18,5
36,Pulverizador either,Plantadeira,10,2024-05-29,WalkerRamos,Galpao 4,2022-09-18,3
36,Pulverizador either,Plantadeira,21,2024-06-09,WalkerRamos,Galpao 4,2022-05-08,1
37,Colheitadeira relate,Plantadeira,14,2024-02-05,Morgan Harris and Garner,Galpao 4,2022-10-05,8
37,Colheitadeira relate,Plantadeira,31,2024-01-10,Morgan Harris and Garner,Galpao 4,2022-10-10,1
37,Colheitadeira relate,Plantadeira,47,2024-05-30,Morgan Harris and Garner,Galpao 4,2023-02-19,10
37,Colheitadeira relate,Plantadeira,8,2024-05-30,Morgan Harris and Garner,Galpao 4,2022-03-18,4
37,Colheitadeira relate,Plantadeira,20,2024-04-28,Morgan Harris and Garner,Galpao 4,2023-07-15,3
38,Colheitadeira subject,Colheitadeira,46,2024-03-08,Richardson and Sons,Galpao 6,2022-05-24,9
38,Colheitadeira subject,Colheitadeira,9,2024-01-20,Richardson and Sons,Galpao 6,2022-03-11,6
38,Colheitadeira subject,Colheitadeira,11,2024-03-15,Richardson and Sons,Galpao 6,2022-08-17,4
38,Colheitadeira subject,Colheitadeira,14,2024-06-22,Richardson and Sons,Galpao 6,2023-11-17,3
38,Colheitadeira subject,Colheitadeira,28,2024-06-30,Richardson and Sons,Galpao 6,2023-11-30,10
39,Trator thing,Empilhadeira,45,2024-05-13,Martin Lee and Scott,Galpao 7,2023-11-23,4
39,Trator thing,Empilhadeira,2,2024-02-29,Martin Lee and Scott,Galpao 7,2022-09-02,8
39,Trator thing,Empilhadeira,24,2024-04-25,Martin Lee and Scott,Galpao 7,2023-01-05,3
39,Trator thing,Empilhadeira,42,2024-06-14,Martin Lee and Scott,Galpao 7,2023-10-03,10
39,Trator thing,Empilhadeira,23,2024-05-30,Martin Lee and Scott,Galpao 7,2023-05-27,2
40,Colheitadeira affect,Empilhadeira,26,2024-01-02,Avila Inc,Galpao 6,2022-06-07,2
40,Colheitadeira affect,Empilhadeira,16,2024-04-26,Avila Inc,Galpao 6,2023-06-08,10
40,Colheitadeira affect,Empilhadeira,20,2024-06-20,Avila Inc,Galpao 6,2022-01-29,5
40,Colheitadeira affect,Empilhadeira,41,2024-02-07,Avila Inc,Galpao 6,2023-05-05,1
40,Colheitadeira affect,Empilhadeira,29,2024-03-28,Avila Inc,Galpao 6,2022-08-11,5
41,Colheitadeira from,Colheitadeira,42,2024-04-20,Horton Inc,Galpao 6,2023-03-11,9
41,Colheitadeira from,Colheitadeira,27,2024-05-30,Horton Inc,Galpao 6,2023-11-26,7
41,Colheitadeira from,Colheitadeira,20,2024-05-22,Horton Inc,Galpao 6,2022-12-07,6
41,Colheitadeira from,Colheitadeira,8,2024-03-22,Horton Inc,Galpao 6,2022-08-13,5
41,Colheitadeira from,Colheitadeira,22,2024-04-16,Horton Inc,Galpao 6,2023-08-11,2
42,Trator forward,Plantadeira,32,2024-05-14,Garrett Bell and Nash,Galpao 5,2023-04-27,4
42,Trator forward,Plantadeira,27,2024-01-04,Garrett Bell and Nash,Galpao 5,2022-02-27,5
42,Trator forward,Plantadeira,41,2024-01-28,Garrett Bell and Nash,Galpao 5,2022-01-31,7
42,Trator forward,Plantadeira,37,2024-04-20,Garrett Bell and Nash,Galpao 5,2022-07-04,7
42,Trator forward,Plantadeira,17,2024-07-06,Garrett Bell and Nash,Galpao 5,2022-10-31,8
43,Colheitadeira health,Trator,39,2024-04-30,Boyd Campbell and Taylor,Galpao 8,2022-09-17,4
43,Colheitadeira health,Trator,39,2024-04-26,Boyd Campbell and Taylor,Galpao 8,2023-11-12,4
43,Colheitadeira health,Trator,1,2024-05-08,Boyd Campbell and Taylor,Galpao 8,2022-08-12,8
43,Colheitadeira health,Trator,23,2024-04-28,Boyd Campbell and Taylor,Galpao 8,2023-09-28,5
43,Colheitadeira health,Trator,13,2024-01-08,Boyd Campbell and Taylor,Galpao 8,2023-08-21,4
44,Plantadeira stock,Trator,36,2024-03-20,Vega Vincent and Lewis,Galpao 9,2022-06-19,3
44,Plantadeira stock,Trator,19,2024-04-22,Vega Vincent and Lewis,Galpao 9,2022-02-11,4
44,Plantadeira stock,Trator,28,2024-03-20,Vega Vincent and Lewis,Galpao 9,2022-04-25,3
44,Plantadeira stock,Trator,47,2024-07-05,Vega Vincent and Lewis,Galpao 9,2022-09-03,5
44,Plantadeira stock,Trator,15,2024-02-14,Vega Vincent and Lewis,Galpao 9,2022-10-11,5
45,Trator firm,Colheitadeira,48,2024-01-07,SuarezBolton,Galpao 2,2023-12-10,1
45,Trator firm,Colheitadeira,9,2024-03-30,SuarezBolton,Galpao 2,2022-08-27,8
45,Trator firm,Colheitadeira,38,2024-03-31,SuarezBolton,Galpao 2,2022-05-15,6
45,Trator firm,Colheitadeira,21,2024-03-21,SuarezBolton,Galpao 2,2022-12-12,5
45,Trator firm,Colheitadeira,48,2024-06-19,SuarezBolton,Galpao 2,2022-10-23,9
46,Colheitadeira white,Plantadeira,11,2024-05-14,Smith Smith and Shepherd,Galpao 2,2023-06-06,2
46,Colheitadeira white,Plantadeira,17,2024-02-13,Smith Smith and Shepherd,Galpao 2,2023-01-12,1
46,Colheitadeira white,Plantadeira,6,2024-02-16,Smith Smith and Shepherd,Galpao 2,2022-02-07,2
46,Colheitadeira white,Plantadeira,49,2024-07-02,Smith Smith and Shepherd,Galpao 2,2023-08-27,6
46,Colheitadeira white,Plantadeira,1,2024-02-07,Smith Smith and Shepherd,Galpao 2,2022-02-25,8
47,Trator industry,Colheitadeira,12,2024-04-26,Montoya PLC,Galpao 2,2023-01-23,2
47,Trator industry,Colheitadeira,41,2024-05-21,Montoya PLC,Galpao 2,2022-04-21,10
47,Trator industry,Colheitadeira,49,2024-06-21,Montoya PLC,Galpao 2,2022-08-01,8
47,Trator industry,Colheitadeira,29,2024-04-06,Montoya PLC,Galpao 2,2023-02-21,4
47,Trator industry,Colheitadeira,28,2024-06-09,Montoya PLC,Galpao 2,2023-08-25,9
48,Pulverizador stay,Pulverizador,26,2024-03-13,Walker Dunn and Hall,Galpao 10,2023-01-27,9
48,Pulverizador stay,Pulverizador,20,2024-03-16,Walker Dunn and Hall,Galpao 10,2022-03-08,2
48,Pulverizador stay,Pulverizador,35,2024-01-02,Walker Dunn and Hall,Galpao 10,2022-11-01,8
48,Pulverizador stay,Pulverizador,37,2024-06-29,Walker Dunn and Hall,Galpao 10,2022-06-19,1
48,Pulverizador stay,Pulverizador,29,2024-06-07,Walker Dunn and Hall,Galpao 10,2023-01-02,9
49,Colheitadeira chance,Colheitadeira,45,2024-05-25,PerezAllen,Galpao 8,2023-08-18,4
49,Colheitadeira chance,Colheitadeira,2,2024-05-09,PerezAllen,Galpao 8,2023-08-13,4
49,Colheitadeira chance,Colheitadeira,44,2024-01-28,PerezAllen,Galpao 8,2023-12-30,9
49,Colheitadeira chance,Colheitadeira,33,2024-05-25,PerezAllen,Galpao 8,2023-09-08,2
49,Colheitadeira chance,Colheitadeira,49,2024-01-21,PerezAllen,Galpao 8,2022-07-03,3
50,Colheitadeira technology,Trator,32,2024-01-22,Williams Chavez and Irwin,Galpao 3,2023-06-27,5
50,Colheitadeira technology,Trator,6,2024-07-01,Williams Chavez and Irwin,Galpao 3,2022-08-17,2
50,Colheitadeira technology,Trator,6,2024-04-29,Williams Chavez and Irwin,Galpao 3,2023-09-10,3
50,Colheitadeira technology,Trator,21,2024-05-26,Williams Chavez and Irwin,Galpao 3,2023-07-07,6
50,Colheitadeira technology,Trator,31,2024-05-26,Williams Chavez and Irwin,Galpao 3,2022-04-07,1
51,Trator people,Plantadeira,13,2024-04-01,Bennett Hanson and Anderson,Galpao 5,2023-07-15,6
51,Trator people,Plantadeira,45,2024-05-22,Bennett Hanson and Anderson,Galpao 5,2022-07-19,9
51,Trator people,Plantadeira,12,2024-03-03,Bennett Hanson and Anderson,Galpao 5,2023-09-19,8
51,Trator people,Plantadeira,10,2024-06-02,Bennett Hanson and Anderson,Galpao 5,2023-04-04,5
51,Trator people,Plantadeira,46,2024-06-26,Bennett Hanson and Anderson,Galpao 5,2022-04-27,6
52,Trator ground,Colheitadeira,19,2024-04-03,Perry Franklin and Ball,Galpao 4,2022-04-24,3
52,Trator ground,Colheitadeira,42,2024-05-25,Perry Franklin and Ball,Galpao 4,2023-12-20,8
52,Trator ground,Colheitadeira,45,2024-06-07,Perry Franklin and Ball,Galpao 4,2023-09-16,7
52,Trator ground,Colheitadeira,34,2024-03-02,Perry Franklin and Ball,Galpao 4,2023-11-22,3
52,Trator ground,Colheitadeira,30,2024-03-18,Perry Franklin and Ball,Galpao 4,2023-03-03,9
53,Colheitadeira wall,Trator,36,2024-05-23,DunlapSolis,Galpao 7,2022-05-12,10
53,Colheitadeira wall,Trator,15,2024-02-23,DunlapSolis,Galpao 7,2022-07-25,9
53,Colheitadeira wall,Trator,23,2024-01-27,DunlapSolis,Galpao 7,2023-06-16,4
53,Colheitadeira wall,Trator,11,2024-04-10,DunlapSolis,Galpao 7,2023-12-10,5
53,Colheitadeira wall,Trator,40,2024-04-17,DunlapSolis,Galpao 7,2023-03-06,3
